"G: 16000, DT: 0.0007",,x,y,vx,vy,p_mag,v_mag
,1,-667.2800652,38.49440259,2191.990748,-21.91109783,668.3894856,2192.100257
,1,-664.2010097,38.46293743,2201.778764,-22.66532147,665.3137446,2201.89542
,1,-659.5564824,38.41369573,2216.656698,-23.84670469,660.674175,2216.784965
,1,-656.4426158,38.37945021,2226.710972,-24.66815989,657.5636015,2226.847609
,1,-653.3145551,38.34402585,2236.877931,-25.51705879,654.4388224,2237.023468
,1,-650.1721389,38.30738398,2247.161251,-26.39365561,651.2996744,2247.316247
,1,-647.0152002,38.26948558,2257.564711,-27.29816055,648.1459888,2257.729747
,1,-643.8435667,38.23029141,2268.092183,-28.23073696,644.9775916,2268.267869
,1,-640.6570608,38.18976205,2278.747643,-29.19149853,641.7943031,2278.934612
,1,-637.455499,38.14785797,2289.535164,-30.1805062,638.5959382,2289.734074
,1,-634.2386919,38.10453961,2300.458918,-31.19776513,635.3823056,2300.670453
,1,-631.0064444,38.05976747,2311.523175,-32.24322141,632.1532083,2311.748043
,1,-627.7585553,38.01350219,2322.732307,-33.31675874,628.9084433,2322.971238
,1,-624.4948169,37.96570466,2334.09078,-34.41819505,625.6478011,2334.344529
,1,-621.2150155,37.91633605,2345.603159,-35.54727893,622.3710662,2345.872501
,1,-617.9189307,37.86535801,2357.274106,-36.70368609,619.0780162,2357.559834
,1,-614.6063354,37.81273269,2369.108377,-37.88701567,615.7684226,2369.411304
,1,-611.2769961,37.7584229,2381.11082,-39.09678662,612.4420498,2381.431775
,1,-607.9306719,37.7023922,2393.286377,-40.3324339,609.0986556,2393.6262
,1,-604.5671154,37.64460506,2405.640076,-41.59330485,605.7379907,2405.999621
,1,-599.4889107,37.55455574,2424.515856,-43.53025229,600.6640481,2424.9066
,1,-596.0811427,37.49222888,2437.337476,-44.85071867,597.2590694,2437.750102
,1,-592.6552188,37.42802998,2450.355504,-46.19338147,593.8358913,2450.790878
,1,-589.2108581,37.36192908,2463.575335,-47.55714903,590.3942319,2464.034317
,1,-585.7477726,37.29389791,2477.002433,-48.94082289,586.933802,2477.485874
,1,-582.2656662,37.22390993,2490.642329,-50.34309485,583.4543045,2491.151067
,1,-578.7642351,37.15194062,2504.500618,-51.7625443,579.9554349,2505.03547
,1,-575.2431676,37.07796751,2518.582948,-53.19763578,576.4368808,2519.144707
,1,-571.7021441,37.00197043,2532.895021,-54.64671705,572.8983221,2533.484448
,1,-568.140837,36.92393165,2547.442583,-56.10801744,569.3394308,2548.060404
,1,-564.5589105,36.84383603,2562.231418,-57.57964681,565.759871,2562.878315
,1,-560.9560207,36.76167122,2577.267347,-59.05959491,562.1592991,2577.943951
,1,-557.3318155,36.67742779,2592.556215,-60.54573147,558.5373633,2593.263101
,1,-553.6859346,36.59109943,2608.103886,-62.03580684,554.893704,2608.841567
,1,-550.0180096,36.5026831,2623.916242,-63.52745341,551.2279535,2624.685159
,1,-546.3276637,36.4121792,2639.999169,-65.0181878,547.5397364,2640.799685
,1,-542.614512,36.31959173,2656.358555,-66.50541382,543.8286691,2657.19095
,1,-537.0011609,36.17682181,2681.428863,-68.72372873,538.2183658,2682.309397
,1,-533.2292562,36.07906783,2698.505112,-70.19012313,534.4484436,2699.417806
,1,-529.4331334,35.97927473,2715.878352,-71.64309919,530.6542669,2716.823137
,1,-525.6123706,35.87746447,2733.554408,-73.07961536,526.835417,2734.531099
,1,-521.7665378,35.77366338,2751.539076,-74.49655096,522.9914674,2752.54737
,1,-517.8951968,35.6679022,2769.838123,-75.89071572,519.1219839,2770.877591
,1,-513.9979016,35.56021623,2788.457286,-77.25886043,515.2265248,2789.527373
,1,-510.0741979,35.45064534,2807.40227,-78.59768875,511.3046407,2808.502288
,1,-506.1236237,35.33923408,2826.678751,-79.9038701,507.355875,2827.807877
,1,-502.1457089,35.22603168,2846.292377,-81.17405366,503.3797635,2847.449652
